"id","name","code","deleted","created_at","updated_at"
1,"北海道銀行","0116",0,"2010-04-01 21:47:14","2010-04-01 21:47:14"
2,"イーバンク銀行","0036",0,"2010-04-01 21:45:00","2010-04-01 21:45:00"
3,"三菱東京UFJ銀行","0005",0,"2010-04-01 20:37:48","2010-04-01 20:47:19"
