id,name,description,deemed_tax_ratio,deleted
1,第一種事業,卸売業,0.9,0
2,第二種事業,小売業,0.8,0
3,第三種事業,製造業等,0.7,0
4,第四種事業,その他の事業,0.6,0
5,第五種事業,不動産業、運輸通信業、サービス業,0.5,0
