"id","code","name","holder_name","deleted","created_on","updated_on","bank_id","bank_office_id"
1,"2884887","北海道銀行","株式会社ハイビッツ",0,"2007-03-29 22:48:12","2010-01-14 19:39:26",1,1
2,"7019077","イーバンク","株式会社ハイビッツ",0,"2010-01-16 12:51:07","2010-01-16 12:51:07",2,2
